seed,split,strategy,final_value,CR,AR,sharpe,sortino,MDD,turnover,win_rate,HHI,entropy,max_weight,mu_min,n_days
9,train,PG,1.364212,0.364212,0.112199,0.563509,0.811264,0.161332,0.013664,0.531973,0.111476,2.195546,0.150306,0.999094,735
9,validate,PG,1.091003,0.091003,0.091764,0.376133,0.497455,0.158095,0.018227,0.534137,0.111457,2.195625,0.130253,0.999089,249
9,test,PG,1.279994,0.279994,0.279994,2.238715,3.308758,0.051547,0.01717,0.585657,0.111465,2.195587,0.123769,0.99909,251
0,train,PPO,1.938953,0.938953,0.254471,1.160368,1.846795,0.16301,0.334746,0.517007,0.475581,1.04133,0.999637,0.998043,735
0,validate,PPO,1.423188,0.423188,0.427212,1.722804,2.332054,0.10479,0.439456,0.562249,0.499865,0.948145,0.99911,0.998092,249
0,test,PPO,1.227765,0.227765,0.227765,1.16847,1.699557,0.076747,0.367762,0.52988,0.551473,0.841143,0.999637,0.998145,251
1,train,PPO,1.399937,0.399937,0.122086,0.499488,0.727552,0.174001,0.3373,0.55102,0.408482,1.214639,0.943027,0.998434,735
1,validate,PPO,1.309665,0.309665,0.312494,1.258718,1.740381,0.125492,0.399244,0.562249,0.420958,1.183869,0.959153,0.998209,249
1,test,PPO,1.262112,0.262112,0.262112,1.220223,1.620974,0.116009,0.362516,0.553785,0.421772,1.143079,0.94632,0.998471,251
2,train,PPO,1.301607,0.301607,0.094452,0.455163,0.615008,0.185881,0.260959,0.530612,0.362237,1.339216,0.909237,0.998915,735
2,validate,PPO,1.092223,0.092223,0.092994,0.36633,0.495245,0.126727,0.276604,0.53012,0.353899,1.354483,0.895138,0.999107,249
2,test,PPO,1.119585,0.119585,0.119585,0.662115,0.941063,0.092172,0.279527,0.517928,0.379804,1.29509,0.858254,0.999081,251
3,train,PPO,1.717808,0.717808,0.20352,0.851086,1.294529,0.140924,0.091743,0.529252,0.316052,1.434268,0.785857,0.999012,735
3,validate,PPO,1.092973,0.092973,0.09375,0.339544,0.436768,0.167475,0.106024,0.51004,0.325116,1.422612,0.772939,0.999057,249
3,test,PPO,1.34622,0.34622,0.34622,1.936758,3.069854,0.069338,0.102005,0.557769,0.304902,1.475559,0.733314,0.999041,251
4,train,PPO,1.352772,0.352772,0.108996,0.460039,0.642191,0.223858,0.299037,0.49932,0.313462,1.34365,0.922682,0.998408,735
4,validate,PPO,1.222552,0.222552,0.224518,0.9155,1.281772,0.150346,0.29047,0.546185,0.296253,1.35443,0.759894,0.998501,249
4,test,PPO,1.315409,0.315409,0.315409,1.623699,2.238379,0.061518,0.236321,0.573705,0.278608,1.392616,0.674582,0.999018,251
5,train,PPO,3.160306,2.160306,0.482869,2.139743,3.626132,0.134395,0.369756,0.544218,0.491678,0.903187,0.999164,0.99813,735
5,validate,PPO,1.155033,0.155033,0.156366,0.654034,0.848829,0.150369,0.407793,0.586345,0.503053,0.889346,0.992885,0.998031,249
5,test,PPO,1.190326,0.190326,0.190326,1.001774,1.479358,0.125429,0.383207,0.537849,0.473092,0.953835,0.995866,0.998053,251
6,train,PPO,1.31454,0.31454,0.098164,0.465938,0.669011,0.180867,0.043165,0.537415,0.137749,2.062786,0.250556,0.999099,735
6,validate,PPO,1.107064,0.107064,0.107965,0.467354,0.627597,0.167189,0.0474,0.558233,0.137817,2.062835,0.226589,0.999069,249
6,test,PPO,1.270053,0.270053,0.270053,1.935936,2.811086,0.058139,0.046781,0.589641,0.14081,2.047053,0.235662,0.999082,251
7,train,PPO,2.42889,1.42889,0.355065,1.587756,2.468083,0.147749,0.39314,0.552381,0.483432,0.904948,0.99143,0.998084,735
7,validate,PPO,1.270698,0.270698,0.273135,1.043727,1.40337,0.148455,0.415742,0.570281,0.459578,0.953849,0.949394,0.998063,249
7,test,PPO,1.008782,0.008782,0.008782,-0.077118,-0.104051,0.219947,0.415042,0.521912,0.503208,0.84952,0.982808,0.998425,251
8,train,PPO,1.656785,0.656785,0.188707,0.919558,1.222764,0.156165,0.091019,0.555102,0.33624,1.312299,0.691253,0.99902,735
8,validate,PPO,1.240108,0.240108,0.242245,1.10904,1.445654,0.118997,0.102515,0.586345,0.337393,1.330685,0.712733,0.999059,249
8,test,PPO,1.2373,0.2373,0.2373,1.263034,1.822417,0.13635,0.09501,0.545817,0.3336,1.332718,0.616555,0.999052,251
9,train,PPO,1.413745,0.413745,0.125864,0.509447,0.714484,0.337713,0.107353,0.542857,0.622846,0.860914,0.946937,0.999009,735
9,validate,PPO,1.265027,0.265027,0.267409,0.896285,1.214024,0.235491,0.110433,0.570281,0.661237,0.786676,0.965603,0.999068,249
9,test,PPO,1.257945,0.257945,0.257945,1.173607,1.643757,0.094001,0.101345,0.573705,0.631745,0.846936,0.94369,0.999031,251
0,train,DDPG,1.345911,0.345911,0.107068,0.539842,0.777321,0.159597,0.011698,0.531973,0.111112,2.197219,0.111434,0.999111,735
0,validate,DDPG,1.090423,0.090423,0.091179,0.377764,0.496767,0.155463,0.016659,0.538153,0.111112,2.197219,0.111497,0.999111,249
0,test,DDPG,1.275311,0.275311,0.275311,2.231638,3.293191,0.050803,0.016964,0.577689,0.111112,2.19722,0.111416,0.999111,251
1,train,DDPG,1.226561,0.226561,0.072424,0.288573,0.416726,0.261307,0.018108,0.515646,0.326459,1.142232,0.409737,0.999329,735
1,validate,DDPG,1.222657,0.222657,0.224625,0.983068,1.343443,0.181859,0.022298,0.546185,0.323944,1.150724,0.357374,0.99932,249
1,test,DDPG,1.132935,0.132935,0.132935,0.671359,1.066761,0.120637,0.021518,0.517928,0.328782,1.130511,0.388969,0.999308,251
2,train,DDPG,1.518604,0.518604,0.153785,0.733238,1.034832,0.173418,0.018221,0.541497,0.181823,1.733125,0.219077,0.999,735
2,validate,DDPG,1.18177,0.18177,0.18335,0.844869,1.073281,0.161797,0.024618,0.582329,0.180748,1.737475,0.208519,0.999,249
2,test,DDPG,1.262243,0.262243,0.262243,1.762096,2.717492,0.077082,0.023582,0.533865,0.182669,1.728561,0.199466,0.999,251
3,train,DDPG,1.336475,0.336475,0.104404,0.423191,0.592618,0.254048,0.012869,0.54966,0.329726,1.160275,0.404644,0.999002,735
3,validate,DDPG,1.21986,0.21986,0.221801,0.903235,1.2683,0.190083,0.018469,0.570281,0.329722,1.159976,0.404756,0.999002,249
3,test,DDPG,1.161624,0.161624,0.161624,0.785942,1.125372,0.124763,0.019104,0.561753,0.329607,1.160397,0.39582,0.999002,251
4,train,DDPG,1.384331,0.384331,0.117788,0.550839,0.768732,0.219848,0.013887,0.540136,0.249821,1.394769,0.281186,0.999,735
4,validate,DDPG,1.287872,0.287872,0.290482,1.307029,1.776116,0.179446,0.019116,0.538153,0.2498,1.394754,0.273204,0.999,249
4,test,DDPG,1.289046,0.289046,0.289046,1.686368,2.509787,0.064036,0.019942,0.573705,0.249872,1.395309,0.281691,0.999,251
5,train,DDPG,1.397793,0.397793,0.121498,0.504374,0.729871,0.259173,0.018945,0.55102,0.223211,1.534756,0.243127,0.999,735
5,validate,DDPG,1.171484,0.171484,0.172968,0.677757,0.900058,0.205276,0.024454,0.570281,0.224226,1.531069,0.24318,0.999,249
5,test,DDPG,1.225368,0.225368,0.225368,1.271858,1.772081,0.09228,0.025408,0.569721,0.224205,1.531091,0.242918,0.999,251
6,train,DDPG,1.402244,0.402244,0.122719,0.610326,0.865496,0.152484,0.299453,0.545578,0.237224,1.481942,0.993572,0.998515,735
6,validate,DDPG,1.153629,0.153629,0.154949,0.726527,0.971239,0.117118,0.277188,0.542169,0.229082,1.513715,0.976507,0.998188,249
6,test,DDPG,1.064582,0.064582,0.064582,0.284223,0.443314,0.092968,0.366218,0.525896,0.242539,1.468681,0.999594,0.998512,251
7,train,DDPG,1.88392,0.88392,0.242164,1.16135,1.748298,0.136833,0.010684,0.555102,0.333273,1.099612,0.333304,0.999,735
7,validate,DDPG,1.213428,0.213428,0.215308,0.926471,1.174795,0.171817,0.015996,0.582329,0.333273,1.099612,0.333304,0.999,249
7,test,DDPG,1.298209,0.298209,0.298209,1.671719,2.581069,0.081742,0.017416,0.549801,0.333273,1.099612,0.333303,0.999,251
8,train,DDPG,1.644969,0.644969,0.185798,0.86552,1.271409,0.243454,0.010361,0.537415,0.333273,1.099611,0.333303,0.999,735
8,validate,DDPG,1.228771,0.228771,0.230798,0.862127,1.125723,0.240806,0.015882,0.562249,0.333273,1.099611,0.333304,0.999,249
8,test,DDPG,1.254769,0.254769,0.254769,1.340074,1.961372,0.100867,0.016873,0.545817,0.333273,1.099611,0.333303,0.999,251
9,train,DDPG,1.457954,0.457954,0.137796,0.566959,0.789062,0.305661,0.011941,0.540136,0.333314,1.099556,0.337027,0.999,735
9,validate,DDPG,1.340458,0.340458,0.343604,1.231664,1.637322,0.235561,0.016383,0.534137,0.333311,1.09956,0.336379,0.999,249
9,test,DDPG,1.191094,0.191094,0.191094,0.925607,1.36869,0.099366,0.018365,0.569721,0.333313,1.099557,0.336519,0.999,251
